""	"logFC"	"P.Value"	"adj.P.Val"
"MYO5B"	-2.57080263436962	5.0695951388342e-06	0.000549558399032013
"ACPL2"	-1.63041570545664	5.10571554840028e-06	0.000549558399032013
"GALNT14"	-4.74070296961964	5.13736378293361e-06	0.000549558399032013
"IGSF3"	2.44676351751604	5.15843495101715e-06	0.000549558399032013
"CREB5"	-2.92965984428214	5.17027848965428e-06	0.000549558399032013
"PLXNA2"	-1.80180345797444	5.17322187839221e-06	0.000549558399032013
"CYP2U1"	1.85360291718431	5.19387747411204e-06	0.000549558399032013
"CDH18"	-5.44885899513812	5.24493183422974e-06	0.000549558399032013
"ADORA1"	2.44997057559768	5.25253487648983e-06	0.000549558399032013
"ADAMTS15"	1.61993496774778	5.5026288106136e-06	0.00056442029707526
"TTC9"	-2.27550717846626	5.52920659528263e-06	0.00056442029707526
"LETM2"	-2.24932340103414	5.62710955145976e-06	0.00056442029707526
"GPSM3"	-2.70945843765191	5.65459569989084e-06	0.00056442029707526
"DAAM2"	-3.67816738913423	5.71748228012036e-06	0.00056442029707526
"INHBB"	-7.68270503645183	5.72833112517394e-06	0.00056442029707526
"MATN2"	2.02973974828618	5.79856507463801e-06	0.00056442029707526
"NLRP10"	-4.41808227774341	5.84209472229157e-06	0.00056442029707526
"PDE7B"	2.273784092326	5.86015261692669e-06	0.00056442029707526
"SH3BGRL2"	-3.03958327992052	5.94781118142836e-06	0.00056442029707526
"MAGIX"	-1.69457977937274	5.96767449262232e-06	0.00056442029707526
"EFEMP1"	1.79142002604339	6.00465678340681e-06	0.00056442029707526
"GLI2"	2.25642428040935	6.03212238598115e-06	0.00056442029707526
"GRIK2"	1.83135703460294	6.19854062627133e-06	0.000571106895087645
"GPR37"	-2.32579882262665	6.23963448907336e-06	0.000571106895087645
"SPOCK1"	-1.63333511267548	6.2866777162961e-06	0.000571106895087645
"ATP6V0D2"	-4.86085805487285	6.3020745222114e-06	0.000571106895087645
"LOC643723"	-4.22841182160737	6.70614401879245e-06	0.000602976652439706
"MIR137HG"	-4.89814474922815	7.50700636736538e-06	0.000669752994434172
"MAGEC2"	-7.44014829383655	7.57419204603119e-06	0.000670549048136715
"LURAP1L"	-1.89876824205671	7.66521400785768e-06	0.000673427084094917
"APBA1"	2.94188684718798	7.77085795440688e-06	0.000677536395433855
"PCOLCE2"	1.77213139023093	8.01807767379944e-06	0.000693835007125998
"C19orf21"	-6.31187843836524	8.18373721958476e-06	0.000702885310897023
"CCDC80"	1.51996341191986	8.35805140667404e-06	0.000709461247193195
"LRRC20"	-1.53019977044273	8.38358933167734e-06	0.000709461247193195
"ADAMTS3"	1.6186029447768	8.47105795840897e-06	0.000711630701046196
"KYNU"	-3.0679639196701	8.59208181966213e-06	0.000716567171467329
"FBXL7"	-9.52606037362253	8.7176896350518e-06	0.000721812158343965
"STEAP2"	1.46080472764415	8.83927490305582e-06	0.000726651534709067
"ISG15"	-1.55746818442205	9.22784597512725e-06	0.000751323922951785
"EIF4E"	-1.99431077849393	9.26996238240973e-06	0.000751323922951785
"HK2"	-1.452077120396	9.56302472501525e-06	0.000768399347126599
"ZNF618"	1.52717470550547	9.66044361583614e-06	0.000768399347126599
"LOC152742"	1.89936637602485	9.82104562369608e-06	0.000768399347126599
"ST3GAL6"	-1.53067428401704	9.83900325481452e-06	0.000768399347126599
"HTRA1"	2.69702689694823	9.90630694193895e-06	0.000768399347126599
"PTPRQ"	-6.52466719556925	9.91936861201298e-06	0.000768399347126599
"MFGE8"	-1.70803687472163	9.94799745606597e-06	0.000768399347126599
"MOCS1"	-1.51510682596941	1.03124471991625e-05	0.000784657661321567
"B3GNT7"	-3.62094070590249	1.03622794908895e-05	0.000784657661321567
"MAOA"	-1.71870873513622	1.0421254702587e-05	0.000784657661321567
"VAV2"	1.39432701488837	1.04686902102141e-05	0.000784657661321567
"SUSD2"	-2.5576953917726	1.05773509233784e-05	0.000784657661321567
"SCG2"	1.37874956828168	1.06981471734928e-05	0.000784657661321567
"TTC39C"	1.54582973313147	1.07198061539079e-05	0.000784657661321567
"KCNQ3"	-8.96951827694171	1.07437235284876e-05	0.000784657661321567
"RRAD"	-1.9326892290789	1.077208362923e-05	0.000784657661321567
"FAM133A"	-3.18961561315954	1.11285687650132e-05	0.000805526401990795
"SECTM1"	1.40318290754051	1.15171977261476e-05	0.000810315107430418
"CSAG1"	2.69663619389785	1.15223417117033e-05	0.000810315107430418
"FAM59A"	-2.02167574641267	1.15804089216578e-05	0.000810315107430418
"SYNPO"	-3.05292116790796	1.16772422921121e-05	0.000810315107430418
"MLLT11"	-1.58370561112057	1.16788248489139e-05	0.000810315107430418
"IGDCC4"	-1.73981251300776	1.16857484432009e-05	0.000810315107430418
"GPAT2"	3.46643413520192	1.16875756219871e-05	0.000810315107430418
"KIAA0922"	1.3608865401895	1.200703144162e-05	0.000817254267855583
"PXDN"	-1.80923171892945	1.20171753728734e-05	0.000817254267855583
"RGS7"	-5.14109444848954	1.20248012918914e-05	0.000817254267855583
"FZD7"	1.77465183521843	1.20717026271135e-05	0.000817254267855583
"CST6"	1.57466247358856	1.21893094687786e-05	0.00082039042500686
"PTGR1"	1.35624906373032	1.25224631734447e-05	0.000837912957344041
"ADAM28"	1.79370636142258	1.29252724966703e-05	0.000859866827538605
"RGS4"	1.4797021405734	1.30257138916764e-05	0.000861568627467264
"NPTXR"	3.09970695341662	1.33120057955363e-05	0.000875473569719014
"AHNAK2"	-2.29952295375191	1.3456023091415e-05	0.000879913030416152
"TMEM173"	-1.57570502144443	1.35673927214464e-05	0.000879913030416152
"PEAR1"	-3.69897637233592	1.36501504044503e-05	0.000879913030416152
"FAM125B"	1.42848657531304	1.37107787668195e-05	0.000879913030416152
"IL18"	-2.24760471327421	1.37617816904082e-05	0.000879913030416152
"CPM"	2.10172750156679	1.39810027434476e-05	0.000882103830295379
"KLF8"	-3.31399594612517	1.40068995368665e-05	0.000882103830295379
"ATP8B2"	-2.99524765713767	1.40259797501133e-05	0.000882103830295379
"OASL"	-2.13863807300502	1.44508638441135e-05	0.000900126212351958
"DPYD"	1.40640692671021	1.44689677022428e-05	0.000900126212351958
"JAG1"	-1.3502155699135	1.45919767718306e-05	0.000902898175629021
"TMEM37"	3.4215095214229	1.47516952168938e-05	0.00090321611431184
"ERCC6"	1.96158928318488	1.4776320292299e-05	0.00090321611431184
"MERTK"	-1.44535830868123	1.48325524028967e-05	0.00090321611431184
"TMC8"	-2.11296183961493	1.4918203083957e-05	0.000903650522596111
"LOC100505806"	2.1070047739762	1.55899845535786e-05	0.000939398598047834
"MEF2C"	-2.61973733923235	1.5800670569888e-05	0.000947134987441877
"IFIT3"	-1.43524013320208	1.60479501270607e-05	0.000956973357576899
"C6orf115"	-1.41277566074133	1.6188646875827e-05	0.000960387303576769
"DPF3"	-1.41967829326494	1.65405210768876e-05	0.000976230036276405
"MITF"	-1.7592691118456	1.66450266497726e-05	0.000977385774042004
"C6orf141"	-3.86609746324108	1.68405611401746e-05	0.000983847807930301
"HSPA12A"	1.90302234330965	1.69278088605129e-05	0.000983950263513349
"GLT25D2"	-1.39166852179077	1.71198648771935e-05	0.000986392457803929
"PTGER3"	4.05585518587162	1.71412365592828e-05	0.000986392457803929
"SEMA3A"	-1.38755308668807	1.73252872234641e-05	0.00099139869311117
"IRX5"	-1.51542059405676	1.74005157710015e-05	0.00099139869311117
"KRT15"	-1.30088987078099	1.81338624625632e-05	0.00102809173931842
"FAM134B"	-3.83051606327293	1.83522130961097e-05	0.00103537068883885
"LDOC1"	-4.88276665269096	1.87147247717728e-05	0.00103837553770246
"LOC339535"	-5.75727995828727	1.87321356157182e-05	0.00103837553770246
"CYGB"	1.45747730095825	1.87328453761481e-05	0.00103837553770246
"LAMC2"	-2.06755327003239	1.8789268099401e-05	0.00103837553770246
"LOC285972"	-1.77387200007754	1.89128994400674e-05	0.00103837553770246
"DKK3"	-1.83685028657886	1.89860268902288e-05	0.00103837553770246
"TRIM59"	-1.70660733040388	1.90370352294047e-05	0.00103837553770246
"TTC32"	-1.22679418110547	1.94038172081797e-05	0.00105338930306104
"FOXQ1"	-2.06163669138235	1.95907549329976e-05	0.00105583408330762
"CPE"	2.58551400134205	1.99296882748678e-05	0.00105583408330762
"B4GALNT4"	1.70837880943345	1.99298809711415e-05	0.00105583408330762
"GCNT1"	1.2313124797537	1.99823590430459e-05	0.00105583408330762
"SAT1"	-1.78541815001645	2.0039886229641e-05	0.00105583408330762
"KIAA1199"	2.03697994273241	2.00419442695004e-05	0.00105583408330762
"TCTEX1D2"	1.31182744308416	2.00910299977729e-05	0.00105583408330762
"GCNT4"	-4.81229415821037	2.01943282743822e-05	0.00105643874595393
"C3"	2.95791869426436	2.02992558286462e-05	0.00105699478051735
"ROBO1"	-8.29259562435221	2.03886385676298e-05	0.00105699478051735
"ZBTB7C"	1.32124828276294	2.07831334630246e-05	0.00107102517586917
"LOC728730"	-1.30389096517119	2.08453939868533e-05	0.00107102517586917
"FBXO17"	1.25043682882476	2.09963495636089e-05	0.00107398660945589
"HIC1"	2.23227491056639	2.11704464930176e-05	0.00107810030392982
"HPSE"	2.20381366784435	2.13966209076331e-05	0.00108202731627019
"FAM24B"	-2.58529647528279	2.14355919810238e-05	0.00108202731627019
"IGFBP3"	1.38417566129907	2.1893519245367e-05	0.00109686542443337
"DIO2"	2.53259751553694	2.20161142288293e-05	0.00109686542443337
"FGF5"	-3.83130960368748	2.20855250956979e-05	0.00109686542443337
"MYL1"	2.739020142873	2.213783262453e-05	0.00109686542443337
